,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz\fultzma01,University of Washington,1,14,253,100,43,53,.405,.000,.476,18.1,7.1,3.1,3.8,0.2,.043,-3.0,-0.1
2,2,LAL,Lonzo Ball\balllo01,University of California Los Angeles,1,52,1780,528,360,376,.360,.305,.451,34.2,10.2,6.9,7.2,2.0,.053,1.7,1.7
3,3,BOS,Jayson Tatum\tatumja01,Duke University,1,80,2438,1112,402,128,.475,.434,.826,30.5,13.9,5.0,1.6,7.1,.139,1.0,1.8
4,4,PHO,Josh Jackson\jacksjo02,University of Kansas,1,77,1959,1012,351,119,.417,.263,.634,25.4,13.1,4.6,1.5,-0.7,-.018,-4.3,-1.1
5,5,SAC,De'Aaron Fox\foxde01,University of Kentucky,1,73,2026,844,204,320,.412,.307,.723,27.8,11.6,2.8,4.4,-0.6,-.014,-4.4,-1.2
6,6,ORL,Jonathan Isaac\isaacjo01,Florida State University,1,27,536,145,99,18,.379,.348,.760,19.9,5.4,3.7,0.7,0.2,.021,-1.8,0.0
7,7,MIN,Lauri Markkanen\markkla01,University of Arizona,1,68,2020,1033,508,79,.434,.362,.843,29.7,15.2,7.5,1.2,3.3,.079,-1.9,0.1
8,8,NYK,Frank Ntilikina\ntilila01,,1,78,1706,463,177,250,.364,.318,.721,21.9,5.9,2.3,3.2,-0.9,-.026,-3.9,-0.8
9,9,DAL,Dennis Smith\smithde03,North Carolina State University,1,69,2049,1048,260,358,.395,.313,.694,29.7,15.2,3.8,5.2,-0.7,-.017,-2.3,-0.1
10,10,SAC,Zach Collins\colliza01,Gonzaga University,1,66,1045,292,221,52,.398,.310,.643,15.8,4.4,3.3,0.8,0.6,.030,-3.2,-0.3
11,11,CHO,Malik Monk\monkma01,University of Kentucky,1,63,854,421,66,91,.360,.342,.842,13.6,6.7,1.0,1.4,0.0,.001,-4.4,-0.5
12,12,DET,Luke Kennard\kennalu01,Duke University,1,73,1463,558,176,124,.443,.415,.855,20.0,7.6,2.4,1.7,2.6,.085,-1.5,0.2
13,13,DEN,Donovan Mitchell\mitchdo01,University of Louisville,1,79,2638,1616,296,291,.437,.340,.805,33.4,20.5,3.7,3.7,5.2,.095,1.1,2.1
14,14,MIA,Bam Adebayo\adebaba01,University of Kentucky,1,69,1368,477,381,101,.512,.000,.721,19.8,6.9,5.5,1.5,4.2,.148,0.2,0.8
15,15,POR,Justin Jackson\jacksju01,University of North Carolina,1,68,1506,453,187,74,.442,.308,.722,22.1,6.7,2.8,1.1,1.0,.031,-3.5,-0.6
16,16,CHI,Justin Patton\pattoju01,Creighton University,1,1,4,2,0,0,.500,,,4.0,2.0,0.0,0.0,0.0,.151,3.3,0.0
17,17,MIL,D.J. Wilson\wilsodj01,University of Michigan,1,22,71,21,10,3,.563,.400,.500,3.2,1.0,0.5,0.1,0.1,.054,-4.1,0.0
18,18,IND,T.J. Leaf\leaftj01,University of California Los Angeles,1,53,459,156,82,9,.471,.429,.625,8.7,2.9,1.5,0.2,0.8,.082,-4.8,-0.3
19,19,ATL,John Collins\collijo01,Wake Forest University,1,74,1785,777,541,98,.576,.340,.715,24.1,10.5,7.3,1.3,5.4,.145,1.7,1.7
20,20,POR,Harry Giles\gilesha01,Duke University,,,,,,,,,,,,,,,,,
21,21,OKC,Terrance Ferguson\fergute01,,1,61,763,189,47,19,.414,.333,.900,12.5,3.1,0.8,0.3,1.2,.077,-2.5,-0.1
