name,school,games,pts,games.1,mpg,pts.1,reb,ast,fgpercent,x3ppercent,ftpercent
Quincy Acy,BAYLOR,139,9.8,139,27.9,9.8,6.0,0.6,.602,.429,.708
Steven Adams,PITT,32,7.2,32,23.4,7.2,6.3,0.6,.571,,.443
Arron Afflalo,UCLA,104,14.8,104,32.7,14.8,3.5,1.9,.457,.373,.781
Cole Aldrich,KANSAS,111,9.4,111,26.8,9.4,7.7,0.6,.574,,.729
LaMarcus Aldridge,TEXAS,53,13.5,53,30.2,13.5,8.2,0.6,.586,,.649
Lavoy Allen,TEMPLE,135,10.5,135,34.2,10.5,8.5,2.1,.534,.288,.671
Tony Allen,BUTLERCOCC,99,15.6,99,31.0,15.6,5.7,3.0,.488,.352,.658
Al-Farouq Aminu,WAKE,62,14.4,62,31.3,14.4,9.4,1.4,.476,.238,.687
Chris Andersen,BLINNTX,29,10.1,29,21.7,10.1,7.7,0.7,.505,.240,.526
Alan Anderson,MICHIGANST,126,9.5,126,26.8,9.5,4.2,2.4,.503,.366,.831
Justin Anderson,VIRGINIA,98,8.9,98,24.1,8.9,3.5,1.8,.430,.357,.752
Kyle Anderson,UCLA,71,12.2,71,31.6,12.2,8.7,5.0,.452,.375,.736
Ryan Anderson,CALIFORNIA,66,18.7,66,33.0,18.7,9.0,1.0,.484,.396,.841
Carmelo Anthony,SYRACUSE,35,22.2,35,36.4,22.2,10.0,2.2,.453,.337,.706
Joel Anthony,UNLV,68,3.7,68,16.1,3.7,3.5,0.3,.573,,.561
Trevor Ariza,UCLA,25,11.6,25,31.6,11.6,6.5,2.1,.426,.237,.504
Darrell Arthur,KANSAS,78,11.3,78,21.9,11.3,5.5,0.6,.541,.118,.676
D.J. Augustin,TEXAS,73,16.9,73,36.5,16.9,2.9,6.2,.443,.402,.808
Luke Babbitt,NEVADA,68,19.4,68,37.1,19.4,8.1,1.8,.480,.421,.893
Ron Baker,WICHITAST,70,14.4,70,32.2,14.4,4.6,2.9,.429,.367,.776
Wade Baldwin,VANDY,68,11.6,68,29.6,11.6,4.1,4.8,.431,.422,.800
J.J. Barea,NEASTERN,113,20.3,113,33.3,20.3,3.9,6.4,.404,.321,.764
Harrison Barnes,UNC,75,16.3,75,29.3,16.3,5.5,1.3,.430,.349,.734
Matt Barnes,UCLA,121,8.8,121,22.6,8.8,4.8,2.0,.469,.314,.566
Will Barton,MEMPHIS,70,15.2,70,32.9,15.2,6.5,2.9,.471,.299,.733
Brandon Bass,LSU,59,15.1,59,34.2,15.1,8.2,0.7,.540,.378,.780
Jerryd Bayless,ARIZONA,30,19.7,30,35.7,19.7,2.7,4.0,.458,.407,.839
Aron Baynes,WASHST,122,8.7,122,,8.7,5.4,0.3,.546,.333,.698
Kent Bazemore,OLDDOM,140,10.1,140,29.6,10.1,4.6,2.7,.447,.334,.581
Bradley Beal,FLORIDA,37,14.8,37,34.2,14.8,6.7,2.2,.445,.339,.769
Malik Beasley,FLORIDAST,34,15.6,34,29.8,15.6,5.3,1.5,.471,.387,.813
Michael Beasley,KANSASST,33,26.2,33,31.5,26.2,12.4,1.2,.532,.379,.774
DeAndre' Bembry,STJOSEPHS,101,15.7,101,36.1,15.7,6.7,3.6,.457,.312,.628
Anthony Bennett,UNLV,35,16.1,35,27.1,16.1,8.1,1.0,.533,.375,.701
Ben Bentil,PROVIDENCE,69,13.8,69,27.9,13.8,6.3,0.9,.455,.324,.761
Patrick Beverley,ARKANSAS,70,13.0,70,,13.0,5.5,2.8,.420,.382,.730
Tarik Black,MEMPHIS,135,8.4,135,20.7,8.4,4.7,0.3,.614,.000,.555
Eric Bledsoe,KENTUCKY,37,11.3,37,30.3,11.3,3.1,2.9,.462,.383,.667
Andrew Bogut,UTAH,68,16.6,68,32.7,16.6,11.1,2.3,.603,.361,.674
Joel Bolomboy,WEBERST,130,11.4,130,28.8,11.4,10.1,0.7,.528,.371,.713
Devin Booker,KENTUCKY,38,10.0,38,21.5,10.0,2.0,1.1,.470,.411,.828
Trevor Booker,CLEMSON,134,12.9,134,30.8,12.9,7.9,1.7,.559,.324,.624
Avery Bradley,TEXAS,34,11.6,34,29.5,11.6,2.9,2.1,.432,.375,.545
Corey Brewer,FLORIDA,108,11.3,108,27.2,11.3,4.3,2.8,.480,.356,.708
Malcolm Brogdon,VIRGINIA,136,13.3,136,30.6,13.3,4.1,2.5,.430,.365,.876
Aaron Brooks,OREGON,115,13.1,115,32.7,13.1,3.5,4.1,.430,.374,.834
Anthony Brown,STANFORD,144,10.8,144,29.2,10.8,4.8,1.6,.428,.403,.751
Bobby Brown,CALSTFULL,116,16.9,116,34.2,16.9,2.5,4.4,.428,.377,.789
Jaylen Brown,CALIFORNIA,34,14.6,34,27.6,14.6,5.4,2.0,.431,.294,.654
Reggie Bullock,UNC,100,9.9,100,24.6,9.9,5.0,1.7,.439,.387,.720
Trey Burke,MICHIGAN,73,16.9,73,35.7,16.9,3.3,5.7,.450,.367,.777
Alec Burks,COLORADO,68,19.0,68,30.9,19.0,5.8,2.4,.495,.313,.804
Jimmy Butler,MARQUETTE,106,12.0,106,34.5,12.0,5.5,1.7,.508,.383,.773
