name,pos,school,games,mpg,pts,reb,fgpercent,thr_percent,ftpercent,nba_ppg,nba_fgp
A.J. Hammons,C,PURDUE,132,24.3,12.1,7,0.539,0.261,0.69,2.2,0.405
Aaron Brooks,PG,OREGON,115,32.7,13.1,3.5,0.43,0.374,0.834,5,0.403
Aaron Gordon,SF,ARIZONA,38,31.2,12.4,8,0.495,0.356,0.422,12.7,0.454
Aaron Harrison,SG,KENTUCKY,79,29.2,12.4,2.8,0.41,0.335,0.787,0.2,0
Adreian Payne,PF,MICHIGANST,138,20,8.9,5.3,0.526,0.409,0.755,3.5,0.426
Al-Farouq Aminu,PF,WAKE,62,31.3,14.4,9.4,0.476,0.238,0.687,8.7,0.393
Al Horford,C,FLORIDA,109,25.7,10.3,7.9,0.586,0,0.619,14,0.473
Alan Anderson,SF,MICHIGANST,126,26.8,9.5,4.2,0.503,0.366,0.831,2.9,0.375
Alan Williams,C,UCSB,112,27,15.5,10,0.492,0,0.706,7.4,0.517
Alec Burks,SG,COLORADO,68,30.9,19,5.8,0.495,0.313,0.804,6.7,0.399
Alex Len,C,MARYLAND,60,24.5,9.7,7,0.538,0.111,0.663,8,0.497
Alex Poythress,PF,KENTUCKY,39,22.9,9.3,5.6,0.563,0.233,0.724,10.7,0.463
Allen Crabbe,SG,CALIFORNIA,98,34.7,15.7,5.7,0.446,0.382,0.819,10.7,0.468
Alonzo Gee,SF,ALABAMA,128,NA,12.7,5.7,0.447,0.325,0.632,0.8,0.214
Andre Drummond,C,UCONN,34,28.4,10,7.6,0.538,0,0.295,13.6,0.53
Andre Iguodala,SF,ARIZONA,62,25.4,9.6,6.6,0.424,0.274,0.738,7.6,0.528
Andre Roberson,SF,COLORADO,105,28.3,9.6,10,0.516,0.35,0.582,6.6,0.464
Andrew Bogut,C,UTAH,68,32.7,16.6,11.1,0.603,0.361,0.674,2.9,0.469
Andrew Harrison,PG,KENTUCKY,79,28.6,10.1,2.7,0.372,0.367,0.777,5.9,0.325
Andrew Nicholson,PF,STBONNY,123,31.4,17.1,7.2,0.575,0.377,0.72,2.6,0.387
Andrew Wiggins,SF,KANSAS,35,32.8,17.1,5.9,0.448,0.341,0.775,23.6,0.452
Anthony Bennett,PF,UNLV,35,27.1,16.1,8.1,0.533,0.375,0.701,5,0.413
Anthony Brown,SF,STANFORD,144,29.2,10.8,4.8,0.428,0.403,0.751,3.9,0.36
Anthony Davis,C,KENTUCKY,40,32,14.2,10.4,0.623,0.15,0.709,28,0.505
Anthony Morrow,SG,GATECH,123,23.6,11.4,3.3,0.437,0.421,0.867,5.5,0.389
Anthony Tolliver,PF,CREIGHTON,124,21.5,8.1,4.9,0.491,0.333,0.671,7.1,0.442
Archie Goodwin,SG,KENTUCKY,33,31.8,14.1,4.6,0.44,0.266,0.637,7.3,0.545
Arinze Onuaku,C,SYRACUSE,134,22.8,9.2,6,0.648,NA,0.395,0.5,0.5
Aron Baynes,C,WASHST,122,NA,8.7,5.4,0.546,0.333,0.698,4.9,0.513
Arron Afflalo,SG,UCLA,104,32.7,14.8,3.5,0.457,0.373,0.781,8.4,0.44
Austin Rivers,SG,DUKE,34,33.2,15.5,3.4,0.433,0.365,0.658,12,0.442
Avery Bradley,SG,TEXAS,34,29.5,11.6,2.9,0.432,0.375,0.545,16.3,0.463
Ben Baiser,PF,RUTGERS,79,34,18.9,7.7,1.682,0.995,1.598,15.2,1.236
Ben Bentil,PF,PROVIDENCE,69,27.9,13.8,6.3,0.455,0.324,0.761,0,0
Ben McLemore,SG,KANSAS,37,32.2,15.9,5.2,0.495,0.42,0.87,8.1,0.43
Blake Griffin,PF,OKLAHOMA,68,NA,18.8,11.8,0.618,0.3,0.589,21.6,0.493
Bobby Brown,PG,CALSTFULL,116,34.2,16.9,2.5,0.428,0.377,0.789,2.5,0.383
Bobby Portis,PF,ARKANSAS,70,28.5,15,7.9,0.526,0.365,0.737,6.8,0.488
Bradley Beal,SG,FLORIDA,37,34.2,14.8,6.7,0.445,0.339,0.769,23.1,0.482
Brandan Wright,PF,UNC,37,27.4,14.7,6.2,0.646,NA,0.567,6.8,0.615
Brandon Bass,PF,LSU,59,34.2,15.1,8.2,0.54,0.378,0.78,5.6,0.575
Brandon Ingram,SF,DUKE,36,34.6,17.3,6.8,0.442,0.41,0.682,9.4,0.402
